name,url,sku,gtin13,price,currency,availability,description,brand,breadcrumbs,images,avg_rating,reviews_count,pack_size,ingredients,storage_details,product_origin,percentage_alcohol,serving_size,nutrition,uniq_id,scraped_at
Birds Eye Crispy Pancakes Beef & Onion 4 Pack 266G,https://www.tesco.com/groceries/en-GB/products/305829059,305829059,05000116125234,2.2,GBP,OutOfStock,"Pancakes coated in breadcrumbs with a minced beef and onion filling, lightly fried. For a sustainable tomorrow. Making a difference with responsibly sourced and prepared food everyday. birdseye.co.uk/our-sustainable-path. The new & tasty,Ready in 10 mins",BIRDS EYE,Frozen Food~Frozen Ready Meals~Frozen Snacking,https://digitalcontent.api.tesco.com/v2/media/ghs/3e55410b-419d-4b54-a446-a54282fd37ec/15b37da6-6399-4dd8-8a6d-ac1358fcc282.jpeg,1.5,23,Pack size: 266G,"Filling (42%) (Water, Minced Beef (20%), Fried Onion (17%) (Onion, Rapeseed Oil), Beef Stock (Beef Stock, Sugar, Concentrated Carrot Juice, Onion Concentrate, Tomato Paste), Wheat Starch, Sunflower Oil, Onion, Tomato Purée, Carrot, Skimmed Milk Powder, Wheat Flour, Salt, Black Pepper, Rosemary Extract, Bay Leaf), Wheat Flour, Water, Sunflower Oil, Breadcrumbs (Wheat Flour, Salt, Yeast, Paprika Powder, Turmeric), Pasteurised Whole Egg, Skimmed Milk Powder, Wheat Starch, Salt, Concentrated Lemon Juice",Store in a freezer at -18°C or cooler.,,,This pack contains 4 portions,"[{'Energy - kJ': '1145kJ'}, {' - kcal': '274kcal'}, {'Fat ': '15g'}, {'- of which Saturates ': '2.0g'}, {'Carbohydrate ': '26g'}, {'- of which Sugars ': '3.0g'}, {'Fibre ': '1.1g'}, {'Protein ': '8.2g'}, {'Salt ': '0.72g'}, {'This pack contains 4 portions': '-'}]",9295ea70-cba4-520f-af19-e16b23066921,12/19/22
Unicorn & Dino Storybooks 4 Pack,https://www.tesco.com/groceries/en-GB/products/311932942,311932942,09781803683058,1.5,GBP,InStock,UNICORN & DINO STORYBOOKS 4PK ,IGLOO,Home & Ents~Party & Giftwrap~Party Bags & Loot Bags,https://digitalcontent.api.tesco.com/v2/media/ghs/5deb22d1-7cc7-4cb9-9002-1fd6ea203059/93ed96a1-f2ac-4bcf-8803-ebdbb43b8373_674482878.jpeg~https://digitalcontent.api.tesco.com/v2/media/ghs/7c73465f-6d0f-4c35-936c-f543ce225de7/4b10e0bb-6dfb-44ab-b202-b42029d271e6_1829689848.jpeg~https://digitalcontent.api.tesco.com/v2/media/ghs/3b95ac17-322e-4036-a27d-f94480935882/eb94bc0c-b17e-4c9d-b539-391dce5e6595_1851344427.jpeg,,,,,,,,,[],7c283545-26d5-55ee-878e-bf520fd90b58,12/19/22
Schwartz Fish Seasoning 55G,https://www.tesco.com/groceries/en-GB/products/257522449,257522449,00000050020881,1.85,GBP,InStock,Schwartz Fish Seasoning 55G. For recipes and cooking suggestions visit: www.schwartz.co.uk,SCHWARTZ,"Food Cupboard~Cooking Ingredients~Seasoning, Herbs & Spices",https://digitalcontent.api.tesco.com/v2/media/ghs/9c024dec-99a1-4dd0-aadb-f0d13b96c248/801f35a2-4b13-4e30-baf0-af589425c55a_1034377439.jpeg~https://digitalcontent.api.tesco.com/v2/media/ghs/0005de38-023a-433f-9406-730b1b8c8de3/bef7577f-12aa-4726-ab1e-4d65de290939_531359003.jpeg~https://digitalcontent.api.tesco.com/v2/media/ghs/3b14d6b5-55aa-4b66-8858-c58c12de8b47/9f120736-a468-4415-8410-904f6d8e3dd4_230102925.jpeg,5,5,Pack size: 55G,"Dried Onion, Sea Salt, Sugar, Maltodextrin, Flavouring (contains Barley, Wheat), Parsley (6%), Dried Lemon Peel (5%), Dried Orange Peel, Acid (Citric Acid), Dill Seed, Dried Lemon Juice Concentrate (2%), Black Pepper, Dill (2%), Sunflower Oil, Anti-caking Agent (Silicon Dioxide)","Store in a cool, dry place out of direct sunlight.",Produced in the EU,,,"[{'Energy': '1067kJ/253kcal'}, {'Fat - Total': '3.0g'}, {'Fat - Saturated': '0.4g'}, {'Carbohydrate': '46.5g'}, {'- Sugars': '24.8g'}, {'Protein': '6.0g'}, {'Salt': '22.01g'}]",fb250b33-8b77-593b-95a2-e51bde919be7,12/19/22
Hearty Food Co Mac 'N' Cheese 400G,https://www.tesco.com/groceries/en-GB/products/299555755,299555755,05057545678336,0.75,GBP,InStock,Cheese sauce with cooked macaroni pasta topped with red Cheddar cheese.,HEARTY FOOD CO.,Frozen Food~Frozen Ready Meals~Frozen Italian & Mediterranean Ready Meals,https://digitalcontent.api.tesco.com/v2/media/ghs/40ceddbc-46b8-418e-8dbd-516477df6a3f/438f9241-7504-4d0f-827c-db1f85a454d5.jpeg,3.3,57,Pack size: 400G,,"Keep Frozen at -18°C or cooler.    Important:If food has thawed, do not refreeze.
    ",,,1 Servings,"[{'Energy': '511kJ / 121kcal'}, {'Fat': '2.7g'}, {'Saturates': '1.5g'}, {'Carbohydrate': '19.3g'}, {'Sugars': '1.0g'}, {'Fibre': '1.1g'}, {'Protein': '4.4g'}, {'Salt': '0.62g'}, {'* Reference intake of an average adult (8400 kJ / 2000 kcal)': '-'}, {'** When microwaved according to instructions 400g typically weighs 392g.': '-'}, {'When microwaved according to instructions.': '-'}]",7b233e41-e3c8-5ec1-81c3-5311cdb07392,12/19/22
Tesco Dijon Mustard 185G,https://www.tesco.com/groceries/en-GB/products/260691710,260691710,05051140474201,0.65,GBP,InStock,Dijon mustard.,TESCO,"Food Cupboard~Table Sauces, Olives, Pickles & Chutney~Mustard",https://digitalcontent.api.tesco.com/v2/media/ghs/2f40e46b-e9f7-45cb-b632-61994e01bc28/a4cd1ab1-8338-4a37-9ecc-a81cd0795277_284196255.jpeg,3.5,30,Pack size: 185G,,"Store in a cool, dry place. Once opened, keep refrigerated and consume within 8 weeks and by date shown.    ",Made using Non-EU mustard seeds.,,37 Servings,"[{'Energy': '530kJ / 128kcal'}, {'Fat': '9.2g'}, {'Saturates': '0.7g'}, {'Carbohydrate': '3.7g'}, {'Sugars': '2.3g'}, {'Fibre': '2.7g'}, {'Protein': '6.2g'}, {'Salt': '6.2g'}, {'* Reference intake of an average adult (8400 kJ / 2000 kcal)': '-'}, {'As sold': '-'}]",df982b9a-98dc-5037-9a68-609722d73456,12/19/22
Disaronno Amaretto 50Cl,https://www.tesco.com/groceries/en-GB/products/255250290,255250290,08001110016372,16.5,GBP,InStock,"Disaronno Amaretto 50Cl. For great cocktail ideas, visit: www.disaronno.com. The World's Favourite Italian Liqueur",DISARONNO,"Drinks~Spirits~Tequila, Liqueurs & Aperitifs",https://digitalcontent.api.tesco.com/v2/media/ghs/333feea2-67f0-4d3c-b2ea-7bbe19afc0be/9a3a33aa-b10b-40c9-9601-507eeef5a1ca.jpeg,5,6,Pack size: 50CL,,,Distributed in the UK,28% vol,,[],7db8f00a-9db4-55c2-bd94-bbdce59114ee,12/19/22
Little Life Buggy Blackout,https://www.tesco.com/groceries/en-GB/products/299960380,299960380,05031863162203,14,GBP,InStock,"Little Life Buggy Blackout. A universal fit buggy blackout cover designed for most strollers, pushchairs & buggies with a double door opening,Protects from the sun's UV rays and also protects from flying insects whilst allowing air circulation with a double-layer air-permeable mesh,Designed for most strollers, pushchairs & buggies to protect from the sun (blocks 99% of UV rays)",LITTLE LIFE,Baby~Toys & Nursery Accessories~Baby & Toddler Travel Accessories,https://digitalcontent.api.tesco.com/v2/media/ghs/c7cb70f6-faaf-4495-9459-fddad1dd27d2/91359716-2605-44c6-9cea-beb52a6670e1_561989845.jpeg,5,1,,,,,,,[],edc76d29-f016-5f1b-b129-199cb3f62a31,12/19/22
Crusha Limited Edition Milk Shake Mix Lime Flavoured 500Ml,https://www.tesco.com/groceries/en-GB/products/308462937,308462937,05010067310054,2,GBP,InStock,"Lime flavour milkshake mix with sweeteners. No Artificial Colours or Flavours,No Added Sugar,Suitable for vegetarians",CRUSHA,Drinks~Milkshake~Milkshake Mix,https://digitalcontent.api.tesco.com/v2/media/ghs/5fa3dad1-4483-40c6-9a5e-1e1c4618c562/818309b4-2a94-4078-b83c-a8fcc4a95953_618273382.jpeg,3,9,Pack size: 500ML,"Water, Lime Juice Concentrate, Flavouring, Acid (Citric Acid), Colours (Mixed Carotenes, Copper Chlorophyll), Preservative (Potassium Sorbate), Acidity Regulator (Tri Sodium Citrate), Sweeteners (Sucralose, Acesulfame-K)",Best Before End: See CapOnce opened keep me in the fridge and use within 1 month,,,,"[{'Energy - kJ': '27kJ'}, {'- kcal (Calories)': '6kcal'}, {'Fat': '0.5g'}, {'of which saturates': '0g'}, {'Carbohydrate': '0.4g'}, {'of which sugars': '0.2g'}, {'Protein': '0g'}, {'Salt': '0.10g'}]",255f8a4b-bdd3-5903-b893-92b9b86143da,12/19/22
Bisto Onion Gravy Granules 190G,https://www.tesco.com/groceries/en-GB/products/309493789,309493789,05000354919565,2,GBP,InStock,"Onion Gravy Granules. Bisto Onion Gravy Granules,The nation's favourite,Low in fat and sugar,Suitable for vegetarians and vegans,Easy to make in minutes – just add water",BISTO,"Food Cupboard~Cooking Ingredients~Gravy, Stuffing & Breadcrumbs",https://digitalcontent.api.tesco.com/v2/media/ghs/37c1df4f-97c6-4fd8-aea3-b50f941552bd/ee0b036c-5514-4897-b604-8121162df93d_307059837.jpeg,4.7,7,Pack size: 190G,"Potato Starch, Maltodextrin, Palm Fat, Salt, Onion Powder (5%), Flavourings (contain Wheat), Wheat Flour (with added Calcium, Iron, Niacin, Thiamin), Colour (Ammonia Caramel), Sugar, Dried Onion (1%), Flavour Enhancers (Monosodium Glutamate, Disodium 5'-Ribonucleotides), Garlic Powder, Emulsifier (Soya Lecithin), Black Pepper Extract, Rosemary Extract",Best before end see base of drumStore in a cool dry place away from direct heat and sunlight.,,,This pack makes approximately 57 portions,"[{'Energy (kJ/(kcal)': '1658kJ'}, {'-': '395kcal'}, {'Fat': '15.4g'}, {'of which Saturates': '10.9g'}, {'Carbohydrate': '59.3g'}, {'of which Sugars': '16.9g'}, {'Fibre': '3.2g'}, {'Protein': '3.2g'}, {'Salt': '11.58g'}, {'This pack makes approximately 57 portions': '-'}]",8ea6a995-9f24-5fdd-9713-75a8a467b63c,12/19/22
Tesco Finest Wholemeal Seeds And Grains Bread 800G,https://www.tesco.com/groceries/en-GB/products/305737088,305737088,05057753893958,1.3,GBP,InStock,Sliced wholemeal bread with mixed seeds and grains.,TESCO FINEST,Bakery~Bread & Rolls~Seeded Bread,https://digitalcontent.api.tesco.com/v2/media/ghs/8f2ae742-2685-44e4-b257-7cbee1b0e862/b2991f2d-ac46-4974-901c-85168f276e20.jpeg,3.4,45,Pack size: 800G,,"Once defrosted, do not refreeze. 
Suitable for home freezing. Ideally freeze as soon as possible after purchase but always by date shown. 
Product will stay at its best if pack is resealed between uses and not kept in the fridge. 
Store in a cool dry place. 
",,,18 Servings,"[{'Energy': '1071kJ / 254kcal'}, {'Fat': '5.0g'}, {'Saturates': '0.9g'}, {'Carbohydrate': '37.4g'}, {'Sugars': '2.7g'}, {'Fibre': '6.4g'}, {'Protein': '11.7g'}, {'Salt': '0.98g'}, {'* Reference intake of an average adult (8400 kJ / 2000 kcal)': '-'}, {'As sold': '-'}]",4dbaff18-7cda-56f5-91e8-f6b65bda54fd,12/19/22
